Number,Title,Color,Fit Type,Waist Line,Length,Fabric,Pattern,Sleeve Type,Neckline,Chest Pad,Lining,Pocket,Occasion,Clothing Detail,Pant Leg Style,Image URL,Product URL
95,Knit Fabric Off-shoulder Stripe Bell Sleeve Tops,Blue,Regular,,Regular,42% Acrylic 30% Polyester 28% Polyamide,Stripes,,Off-shoulder,,,,Daily Casual,,,https://img1.shopcider.com/product/1759238811000-w7NPdY.jpg,https://www.shopcider.com/goods/knit-fabric-off-shoulder-stripe-long-sleeve-tops-114958123?style_id=2210942&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114958123&shopPage=11&shopIndex=235&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B235&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=236&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozMi45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzU5MjM4ODExMDAwLXc3TlBkWS5qcGciLCJzcHUiOjExNDk1ODEyMywic3B1Q29kZSI6IkNEMjAyNTA4MDE2MzQ4MzdLUyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ1MDA3MS1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTk5ZDQzYmEtOGFmMC00NjZiLTk4MTktYzJhOGM5ZDgxMWQxIn0%3D&activityId=10282&activity_id=10282
96,Two Pieces Knit Collar Half Zip Tank Top & Crop Shrug,Brown,Regular,,Regular,81% Polyester 16% Acrylic 3% Elastane,Solid,,Collar,,,,Daily Casual,Zipper,,https://img1.shopcider.com/product/1754888626000-yMRzsP.jpg,https://www.shopcider.com/goods/knit-collar-half-zip-long-sleeve-top-set-114820132?style_id=2190943&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114820132&shopPage=11&shopIndex=236&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B236&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=237&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QsU1dJTkciLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozOS45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzU0ODg4NjI2MDAwLXlNUnpzUC5qcGciLCJzcHUiOjExNDgyMDEzMiwic3B1Q29kZSI6IkNEMjAyNTA2MDY2MjA3MzNLTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ1MDA3MS1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTk5ZDQzYmEtOGFmMC00NjZiLTk4MTktYzJhOGM5ZDgxMWQxIn0%3D&activityId=10282&activity_id=10282
97,Knit Stand Collar Long Sleeve Wrap Split Button Top,Gray,Regular,,Long,42% Acrylic 30% Polyester 28% Polyamide,Solid,,Mandarin Collar/Stand Collar,,,,Work,Button Split,,https://img1.shopcider.com/product/1761307045000-CMkxC6.jpg,https://www.shopcider.com/goods/knit-stand-collar-long-sleeve-wrap-split-button-top-114990100?style_id=2215095&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114990100&shopPage=11&shopIndex=237&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B237&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=238&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QsU1dJTkciLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozOS45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzYxMzA3MDQ1MDAwLUNNa3hDNi5qcGciLCJzcHUiOjExNDk5MDEwMCwic3B1Q29kZSI6IkNEMjAyNTA3MjQ2MzI4MTlDRyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ1MDA3MS1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTk5ZDQzYmEtOGFmMC00NjZiLTk4MTktYzJhOGM5ZDgxMWQxIn0%3D&activityId=10282&activity_id=10282
98,Cable Knit V-neck Textured Oversized Sweater,White,Oversized,,Crop,100% Acrylic,Solid,,V-neck,,,,Daily Casual,,,https://img1.shopcider.com/product/1759229603000-KRhpGd.jpg,https://www.shopcider.com/goods/cable-knit-v-neck-textured-oversized-crop-top-114964870?style_id=2211047&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114964870&shopPage=11&shopIndex=241&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B241&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=242&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozNy45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzU5MjI5NjAzMDAwLUtSaHBHZC5qcGciLCJzcHUiOjExNDk2NDg3MCwic3B1Q29kZSI6IkNEMjAyNTA3MzE2MzQ0NTlLUyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ1MDA3MS1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTk5ZDQzYmEtOGFmMC00NjZiLTk4MTktYzJhOGM5ZDgxMWQxIn0%3D&activityId=10282&activity_id=10282
99,Round Neck Knitted Long Sleeve Sweater,Red,Regular,,Regular,68% Acrylic 28% Polyester 4% spandex,Solid,,Round Neckline,,,,School Daily Casual,,,https://img1.shopcider.com/product/1698809335000-EfWGmk.jpg,https://www.shopcider.com/goods/round-neck-knitted-long-sleeve-sweater-100690240?style_id=1160296&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=100690240&shopPage=11&shopIndex=242&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B242&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=243&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozMi45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNjk4ODA5MzM1MDAwLUVmV0dtay5qcGciLCJzcHUiOjEwMDY5MDI0MCwic3B1Q29kZSI6IkNEMjAyMzA3MjUzNTI3MjVLUyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ1MDA3MS1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTk5ZDQzYmEtOGFmMC00NjZiLTk4MTktYzJhOGM5ZDgxMWQxIn0%3D&activityId=10282&activity_id=10282
100,Knit Round Neckline Lantern Sleeve Oversized Top,Brown,Oversized,,Regular,100% Acrylic,Solid,,Round Neckline,,,,Daily Casual,,,https://img1.shopcider.com/product/1752725557000-iCFbhS.jpg,https://www.shopcider.com/goods/knit-round-neckline-lantern-sleeve-oversized-top-114755388?style_id=2182449&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114755388&shopPage=11&shopIndex=243&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B243&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=244&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozMi45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzUyNzI1NTU3MDAwLWlDRmJoUy5qcGciLCJzcHUiOjExNDc1NTM4OCwic3B1Q29kZSI6IkNEMjAyNTA2MTk2MjQ2ODVLUyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ1MDA3MS1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTk5ZDQzYmEtOGFmMC00NjZiLTk4MTktYzJhOGM5ZDgxMWQxIn0%3D&activityId=10282&activity_id=10282
101,Wool-blend Knit Collar Stripe Oversized Long Sleeve Top,Black ,Oversized,,Regular,74% Polyester 15% Viscose 7% Wool 4% Elastane,Stripes,,Collar,,,,Daily Casual,,,https://img1.shopcider.com/product/1731398515000-Qd7DAN.jpg,https://www.shopcider.com/goods/wool-blend-knit-collar-stripe-oversized-long-sleeve-top-114097097?style_id=2092333&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114097097&shopPage=11&shopIndex=246&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B246&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=247&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJvcmlnaW5hbFByaWNlIjozMi45MCwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6MTguOTksInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTczMTM5ODUxNTAwMC1RZDdEQU4uanBnIiwic3B1IjoxMTQwOTcwOTcsInNwdUNvZGUiOiJDRDIwMjQwOTI3NTU5NTA2S1MiLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzQ0NTAwNzEtcmVjb19yZXJhbmtfZGlzY291bnRfZGl2ZXJzaXR5OmJhc2UtcmVjb19zb3J0X3dlaWdodF9ieV9jbGlja19sZW5faG90X2NvbGxlY3Rpb246LXJlY29fcmFua19kZWVwX2ZtX3AyOmJhc2UzLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X3VzXzIwMjUwOTA4OmJhc2VfMTEwNy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyOTYyNzpDb250cm9sIiwidHJhY2tpbmdJZCI6Ijk5OWQ0M2JhLThhZjAtNDY2Yi05ODE5LWMyYThjOWQ4MTFkMSJ9&activityId=10282&activity_id=10282
102,Cable Knit V-neck Solid Hooded Long Sleeve Top,Gray,Regular,,Regular,49% Acrylic 28% Polyamide 23% Polyester,Solid,,Hooded,,,,Daily Casual,,,https://img1.shopcider.com/product/1750931941000-76PyfQ.jpg,https://www.shopcider.com/goods/cable-knit-v-neck-solid-hooded-long-sleeve-top-114713748?style_id=2175579&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114713748&shopPage=11&shopIndex=250&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B250&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=251&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozNC45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzUwOTMxOTQxMDAwLTc2UHlmUS5qcGciLCJzcHUiOjExNDcxMzc0OCwic3B1Q29kZSI6IkNEMjAyNTA1MTQ2MTY1MzJLUyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ1MDA3MS1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTk5ZDQzYmEtOGFmMC00NjZiLTk4MTktYzJhOGM5ZDgxMWQxIn0%3D&activityId=10282&activity_id=10282
103,Stand Collar Rivet Zipper Cardigan,Gray,Regular,,,85% viscose 15% nylon,Solid,,Mandarin Collar/Stand Collar,,,,,Zipper,,https://img1.shopcider.com/product/1691047241000-xjyFFC.jpg,https://www.shopcider.com/goods/stand-collar-rivet-zipper-cardigan-100319961?style_id=1153180&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=100319961&shopPage=11&shopIndex=252&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B252&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=253&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozNy45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNjkxMDQ3MjQxMDAwLXhqeUZGQy5qcGciLCJzcHUiOjEwMDMxOTk2MSwic3B1Q29kZSI6IkNEMjAyMzA3MDczNDExNTVDRyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ1MDA3MS1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTk5ZDQzYmEtOGFmMC00NjZiLTk4MTktYzJhOGM5ZDgxMWQxIn0%3D&activityId=10282&activity_id=10282
104,Knit Round Neckline Solid Texture Crop Long Sleeve Top,pink,Regular,,Crop,60% Acrylic 40% Cotton,Solid,,Round Neckline,,,,School Daily Casual,,,https://img1.shopcider.com/product/1720082228000-AymPeA.jpg,https://www.shopcider.com/goods/knit-round-neckline-solid-crop-long-sleeve-top-111005370?style_id=2014499&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=111005370&shopPage=11&shopIndex=254&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B254&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=255&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6IuaooeaLjeWkp%20eJh%20WbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6ZmFsc2UsInNhbGVQcmljZSI6MzIuOTAsInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTcyMzEwNTg5MDAwMC1pRWtHQ0YuanBnIiwic3B1IjoxMTEwMDUzNzAsInNwdUNvZGUiOiJDRDIwMjQwNjAzNDkwODQ4S1MiLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzQ0NTAwNzEtcmVjb19yZXJhbmtfZGlzY291bnRfZGl2ZXJzaXR5OmJhc2UtcmVjb19zb3J0X3dlaWdodF9ieV9jbGlja19sZW5faG90X2NvbGxlY3Rpb246LXJlY29fcmFua19kZWVwX2ZtX3AyOmJhc2UzLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X3VzXzIwMjUwOTA4OmJhc2VfMTEwNy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyOTYyNzpDb250cm9sIiwidHJhY2tpbmdJZCI6Ijk5OWQ0M2JhLThhZjAtNDY2Yi05ODE5LWMyYThjOWQ4MTFkMSJ9&activityId=10282&activity_id=10282
105,Knit Collar V-neck Long Sleeve Oversized Top,Navy ,Oversized,,Long,42% Acrylic 30% Polyamide 28% Polyester,Solid,,V-neck,,,,Daily Casual,,,https://img1.shopcider.com/product/1755140931000-sY8DBd.jpg,https://www.shopcider.com/goods/knit-collar-v-neck-long-sleeve-oversized-top-114853470?style_id=2197743&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114853470&shopPage=11&shopIndex=257&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B257&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=258&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6IiIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6ZmFsc2UsInNhbGVQcmljZSI6MzcuOTAsInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTc1OTIxNDU3NTAwMC1zMjVucGMuanBlZyIsInNwdSI6MTE0ODUzNDcwLCJzcHVDb2RlIjoiQ0QyMDI1MDYwOTYyMTE2MEtTIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM0NDUwMDcxLXJlY29fcmVyYW5rX2Rpc2NvdW50X2RpdmVyc2l0eTpiYXNlLXJlY29fc29ydF93ZWlnaHRfYnlfY2xpY2tfbGVuX2hvdF9jb2xsZWN0aW9uOi1yZWNvX3JhbmtfZGVlcF9mbV9wMjpiYXNlMy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjk2Mjc6Q29udHJvbCIsInRyYWNraW5nSWQiOiI5OTlkNDNiYS04YWYwLTQ2NmItOTgxOS1jMmE4YzlkODExZDEifQ%3D%3D&activityId=10282&activity_id=10282
